Count,correct,Holistic,Analytic,Mixed,AH-H,AH-A,A+M,speech,Aspeech
5,0.333333333,0.805555556,0.194444444,0,0.805555556,0.194444444,0.194444444,270,154
5,0.666666667,0.684210526,0.289473684,0.026315789,0.702702703,0.297297297,0.315789473,326,184
5,0.5,0.685714286,0.314285714,0,0.685714286,0.314285714,0.314285714,261,160
5,0.666666667,0.609756098,0.341463415,0.048780488,0.641025641,0.358974359,0.390243903,286,158
5,0.666666667,0.434782609,0.456521739,0.108695652,0.487804878,0.512195122,0.565217391,305,159
5,1,0.388888889,0.472222222,0.138888889,0.451612903,0.548387097,0.611111111,296,166
5,0.333333333,0.666666667,0.238095238,0.095238095,0.736842105,0.263157895,0.333333333,318,174
5,1,0.641791045,0.343283582,0.014925373,0.651515152,0.348484848,0.358208955,395,299
5,0.5,0.738095238,0.261904762,0,0.738095238,0.261904762,0.261904762,270,166
10,1,0.540540541,0.378378378,0.081081081,0.588235295,0.411764705,0.459459459,372,250
10,1,0.69047619,0.214285714,0.095238095,0.763157895,0.236842105,0.309523809,468,316
10,0.666666667,0.738095238,0.238095238,0.023809524,0.756097561,0.243902439,0.261904762,416,294
10,0.666666667,0.380952381,0.19047619,0.428571429,0.666666667,0.333333333,0.619047619,235,114
10,0.166666667,0.4,0.44,0.16,0.476190476,0.523809524,0.6,239,114
10,0.333333333,0.32,0.32,0.36,0.5,0.5,0.68,295,138
10,0.333333333,0.545454545,0.333333333,0.121212121,0.620689655,0.379310345,0.454545454,323,173
10,0.666666667,0.458333333,0.416666667,0.125,0.523809523,0.476190477,0.541666667,279,147
10,0.333333333,0.58974359,0.307692308,0.102564103,0.657142857,0.342857143,0.410256411,338,213
15,1,0.333333333,0.433333333,0.233333333,0.434782609,0.565217391,0.666666666,384,237
15,0.666666667,0.538461538,0.192307692,0.269230769,0.736842105,0.263157895,0.461538461,335,188
15,0.666666667,0.571428571,0.314285714,0.114285714,0.64516129,0.35483871,0.428571428,428,245
15,0.5,0.413793103,0.310344828,0.275862069,0.571428571,0.428571429,0.586206897,341,161
15,1,0.227272727,0.409090909,0.363636364,0.357142857,0.642857143,0.772727273,302,143
15,0.666666667,0.392857143,0.25,0.357142857,0.611111111,0.388888889,0.607142857,352,165
15,1,0.411764706,0.323529412,0.264705882,0.56,0.44,0.588235294,463,318
15,0.666666667,0.4,0.4,0.2,0.5,0.5,0.6,371,224
