Count,Tangram,No,Holistic,Analytic,Holistic+Analytic
5,AB,0,0.805555556,0.194444444,0
5,AB,1,0.684210526,0.289473684,0.026315789
5,AB,2,0.685714286,0.314285714,0
5,AC,0,0.609756098,0.341463415,0.048780488
5,AC,1,0.434782609,0.456521739,0.108695652
5,AC,2,0.388888889,0.472222222,0.138888889
5,BC,0,0.666666667,0.238095238,0.095238095
5,BC,1,0.641791045,0.343283582,0.014925373
5,BC,2,0.738095238,0.261904762,0
10,AB,0,0.540540541,0.378378378,0.081081081
10,AB,1,0.69047619,0.214285714,0.095238095
10,AB,2,0.738095238,0.238095238,0.023809524
10,AC,0,0.380952381,0.19047619,0.428571429
10,AC,1,0.4,0.44,0.16
10,AC,2,0.32,0.32,0.36
10,BC,0,0.545454545,0.333333333,0.121212121
10,BC,1,0.458333333,0.416666667,0.125
10,BC,2,0.58974359,0.307692308,0.102564103
15,AB,0,0.333333333,0.433333333,0.233333333
15,AB,1,0.538461538,0.192307692,0.269230769
15,AB,2,0.571428571,0.314285714,0.114285714
15,AC,0,0.413793103,0.310344828,0.275862069
15,AC,1,0.227272727,0.409090909,0.363636364
15,AC,2,0.392857143,0.25,0.357142857
15,BC,0,0.411764706,0.323529412,0.264705882
15,BC,1,0.4,0.4,0.2
15,BC,2,0.4,0.425,0.175
20,AB,0,0.419354839,0.258064516,0.322580645
20,AB,1,0.481481481,0.259259259,0.259259259
20,AB,2,0.541666667,0.208333333,0.25
20,AC,0,0.35,0.3,0.35
20,AC,1,0.5,0.384615385,0.115384615
20,AC,2,0.454545455,0.227272727,0.318181818
20,BC,0,0.384615385,0.461538462,0.153846154
20,BC,1,0.583333333,0.375,0.041666667
20,BC,2,0.392857143,0.464285714,0.142857143
25,AB,0,0.4,0.333333333,0.266666667
25,AB,1,0.387096774,0.451612903,0.161290323
25,AB,2,0.37037037,0.481481481,0.148148148
25,AC,0,0.3,0.5,0.2
25,AC,1,0.470588235,0.264705882,0.264705882
25,AC,2,0.421052632,0.236842105,0.342105263
25,BC,0,0.5,0.416666667,0.083333333
25,BC,1,0.3,0.5,0.2
25,BC,2,0.3,0.5,0.2
30,AB,0,0.416666667,0.333333333,0.25
30,AB,1,0.461538462,0.423076923,0.115384615
30,AB,2,0.416666667,0.416666667,0.166666667
30,AC,0,0.541666667,0.291666667,0.166666667
30,AC,1,0.434782609,0.304347826,0.260869565
30,AC,2,0.35483871,0.387096774,0.258064516
30,BC,0,0.37037037,0.296296296,0.333333333
30,BC,1,0.5,0.125,0.375
30,BC,2,0.5,0.291666667,0.208333333
human,AB,2,0.474576271,0.4068,0.1186
human,AB,3,0.656565657,0.3434,0.0000
human,AB,6,0.661290323,0.3387,0.0000
human,AB,9,0.794117647,0.1176,0.0882
human,AB,10,0.451612903,0.3548,0.1935
human,AB,11,0.557142857,0.4143,0.0286
human,AB,12,0.738317757,0.2430,0.0187
human,AB,14,0.65625,0.2813,0.0625
human,AB,17,0.531914894,0.4574,0.0106
human,AB,18,0.581395349,0.3488,0.0698
human,AB,21,0.592920354,0.3274,0.0796
human,AB,24,0.581818182,0.4182,0.0000
human,AB,26,0.584415584,0.3506,0.0649
human,AB,29,0.550724638,0.2899,0.1594
human,AB,30,0.887323944,0.0986,0.0141
human,AB,32,0.854545455,0.0909,0.0545
human,AB,34,0.568627451,0.3529,0.0784
human,AB,36,0.707865169,0.2809,0.0112
human,AB,37,0.65060241,0.3253,0.0241
human,AB,39,0.671875,0.2969,0.0313
human,AB,41,0.652173913,0.3217,0.0261
human,AB,43,0.650793651,0.3175,0.0317
human,AB,45,0.592592593,0.3704,0.0370
human,AB,47,0.538461538,0.3590,0.1026
human,AB,50,0.488888889,0.5111,0.0000
human,AB,51,0.602409639,0.2530,0.1446
human,AB,53,0.707692308,0.2769,0.0154
human,AB,56,0.53125,0.4531,0.0156
