Count,Tangram,No,Aspeech
5,AB,0,154
5,AB,1,184
5,AB,2,160
5,AC,0,158
5,AC,1,159
5,AC,2,166
5,BC,0,174
5,BC,1,299
5,BC,2,166
10,AB,0,250
10,AB,1,316
10,AB,2,294
10,AC,0,114
10,AC,1,114
10,AC,2,138
10,BC,0,173
10,BC,1,147
10,BC,2,213
15,AB,0,237
15,AB,1,188
15,AB,2,245
15,AC,0,161
15,AC,1,143
15,AC,2,165
15,BC,0,318
15,BC,1,224
15,BC,2,387
20,AB,0,252
20,AB,1,217
20,AB,2,210
20,AC,0,183
20,AC,1,184
20,AC,2,179
20,BC,0,217
20,BC,1,200
20,BC,2,340
25,AB,0,316
25,AB,1,314
25,AB,2,268
25,AC,0,245
25,AC,1,394
25,AC,2,466
25,BC,0,245
25,BC,1,233
25,BC,2,230
30,AB,0,225
30,AB,1,265
30,AB,2,253
30,AC,0,235
30,AC,1,277
30,AC,2,499
30,BC,0,381
30,BC,1,265
30,BC,2,274
human,AB,2,236
human,AB,3,782
human,AB,6,334
human,AB,9,187
human,AB,10,541
human,AB,11,1287
human,AB,12,962
human,AB,14,727
human,AB,17,568
human,AB,18,536
human,AB,21,940
human,AB,24,1116
human,AB,26,949
human,AB,29,647
human,AB,30,579
human,AB,32,524
human,AB,34,556
human,AB,36,710
human,AB,37,369
human,AB,39,603
human,AB,41,1354
human,AB,43,821
human,AB,45,301
human,AB,47,641
human,AB,50,457
human,AB,51,977
human,AB,53,1086
human,AB,56,573
