Count,Tangram,No,speech
5,AB,0,270
5,AB,1,326
5,AB,2,261
5,AC,0,286
5,AC,1,305
5,AC,2,296
5,BC,0,318
5,BC,1,395
5,BC,2,270
10,AB,0,372
10,AB,1,468
10,AB,2,416
10,AC,0,235
10,AC,1,239
10,AC,2,295
10,BC,0,323
10,BC,1,279
10,BC,2,338
15,AB,0,384
15,AB,1,335
15,AB,2,428
15,AC,0,341
15,AC,1,302
15,AC,2,352
15,BC,0,463
15,BC,1,371
15,BC,2,599
20,AB,0,455
20,AB,1,381
20,AB,2,355
20,AC,0,337
20,AC,1,322
20,AC,2,338
20,BC,0,368
20,BC,1,357
20,BC,2,472
25,AB,0,543
25,AB,1,545
25,AB,2,510
25,AC,0,426
25,AC,1,519
25,AC,2,645
25,BC,0,397
25,BC,1,427
25,BC,2,440
30,AB,0,419
30,AB,1,492
30,AB,2,467
30,AC,0,450
30,AC,1,476
30,AC,2,816
30,BC,0,632
30,BC,1,463
30,BC,2,459
human,AB,2,1151
human,AB,3,2580
human,AB,6,914
human,AB,9,399
human,AB,10,1654
human,AB,11,3529
human,AB,12,2158
human,AB,14,1630
human,AB,17,1432
human,AB,18,1297
human,AB,21,2570
human,AB,24,2680
human,AB,26,2156
human,AB,29,1886
human,AB,30,1361
human,AB,32,1050
human,AB,34,1222
human,AB,36,1681
human,AB,37,1616
human,AB,39,2014
human,AB,41,3077
human,AB,43,1939
human,AB,45,910
human,AB,47,1676
human,AB,50,1705
human,AB,51,2382
human,AB,53,2621
human,AB,56,1555
